stream_id,step,fraction,processed,true_f0,estimate
7,16,0.85,170000,161665,160632
7,17,0.9,180000,171027,170828
7,18,0.95,190000,180431,181753
7,19,1,200000,189843,191342
8,0,0.05,10000,9727,9903.59
8,1,0.1,20000,19355,19091.7
8,2,0.15,30000,28953,28669.9
8,3,0.2,40000,38513,38401.8
8,4,0.25,50000,48096,48274.2
8,5,0.3,60000,57620,58372.3
8,6,0.35,70000,67145,67541.1
8,7,0.4,80000,76684,78098.8
8,8,0.45,90000,86227,88114.5
8,9,0.5,100000,95751,98088.4
8,10,0.55,110000,105185,106965
8,11,0.6,120000,114655,116562
8,12,0.65,130000,124101,125459
8,13,0.7,140000,133578,134687
8,14,0.75,150000,142974,145938
8,15,0.8,160000,152413,154595
8,16,0.85,170000,161825,164486
8,17,0.9,180000,171184,173148
8,18,0.95,190000,180578,182732
8,19,1,200000,189960,193002
9,0,0.05,10000,9714,9611.28
9,1,0.1,20000,19318,18660.7
9,2,0.15,30000,28918,28397.6
9,3,0.2,40000,38504,37203.8
9,4,0.25,50000,48071,46637.3
9,5,0.3,60000,57600,56129.1
9,6,0.35,70000,67125,65290.1
9,7,0.4,80000,76657,74932.9
9,8,0.45,90000,86180,84144.8
9,9,0.5,100000,95675,93608.4
9,10,0.55,110000,105177,102571
9,11,0.6,120000,114622,112964
9,12,0.65,130000,124088,123076
9,13,0.7,140000,133538,132507
9,14,0.75,150000,142930,140743
9,15,0.8,160000,152366,151108
9,16,0.85,170000,161779,160887
9,17,0.9,180000,171138,170522
9,18,0.95,190000,180528,181876
9,19,1,200000,189928,192215
10,0,0.05,10000,9694,9727.86
10,1,0.1,20000,19310,18806.8
10,2,0.15,30000,28920,29508.6
10,3,0.2,40000,38482,38401.9
10,4,0.25,50000,48032,47988.2
10,5,0.3,60000,57571,58257.7
10,6,0.35,70000,67096,68692
10,7,0.4,80000,76589,78718.7
10,8,0.45,90000,86085,87594.3
10,9,0.5,100000,95584,97263.3
10,10,0.55,110000,105060,107062
10,11,0.6,120000,114478,116520
10,12,0.65,130000,123928,125660
10,13,0.7,140000,133351,136398
10,14,0.75,150000,142788,144412
10,15,0.8,160000,152182,154312
10,16,0.85,170000,161591,164030
10,17,0.9,180000,170999,174600
10,18,0.95,190000,180403,184734
10,19,1,200000,189720,193750
11,0,0.05,10000,9726,9749.42
11,1,0.1,20000,19339,18955.4
11,2,0.15,30000,28943,29077.9
11,3,0.2,40000,38544,39239.4
11,4,0.25,50000,48099,48925
11,5,0.3,60000,57667,58574.4
11,6,0.35,70000,67226,68517.6
11,7,0.4,80000,76734,78672.9
11,8,0.45,90000,86216,86740.7
11,9,0.5,100000,95686,97155.3
11,10,0.55,110000,105181,105941
11,11,0.6,120000,114676,116297
11,12,0.65,130000,124158,126090
11,13,0.7,140000,133600,134465
11,14,0.75,150000,143006,142839
11,15,0.8,160000,152410,151670
11,16,0.85,170000,161804,160482
11,17,0.9,180000,171210,168347
11,18,0.95,190000,180639,177553
11,19,1,200000,190020,189240
12,0,0.05,10000,9721,9881.21
12,1,0.1,20000,19356,19052.9
12,2,0.15,30000,28936,28229.4
12,3,0.2,40000,38543,37758
12,4,0.25,50000,48088,47881
12,5,0.3,60000,57640,57100
12,6,0.35,70000,67162,66486.2
12,7,0.4,80000,76657,76503.4
12,8,0.45,90000,86164,86595.6
12,9,0.5,100000,95636,96432.3
12,10,0.55,110000,105100,106810
12,11,0.6,120000,114546,116402
12,12,0.65,130000,124015,125342
12,13,0.7,140000,133431,135370
12,14,0.75,150000,142843,144872
12,15,0.8,160000,152266,154109
12,16,0.85,170000,161705,163743
12,17,0.9,180000,171078,174946
12,18,0.95,190000,180441,184622
12,19,1,200000,189832,194423
13,0,0.05,10000,9721,9642.75
13,1,0.1,20000,19377,19122.5
13,2,0.15,30000,28952,28561.1
13,3,0.2,40000,38557,38551.3
13,4,0.25,50000,48141,47666.2
13,5,0.3,60000,57714,57980.8
13,6,0.35,70000,67261,67667
13,7,0.4,80000,76814,76581.6
13,8,0.45,90000,86333,87142.4
13,9,0.5,100000,95792,96697.5
13,10,0.55,110000,105304,105111
13,11,0.6,120000,114751,114864
13,12,0.65,130000,124216,122913
13,13,0.7,140000,133633,133020
13,14,0.75,150000,143066,142570
13,15,0.8,160000,152460,152157
13,16,0.85,170000,161921,159603
13,17,0.9,180000,171373,168858
13,18,0.95,190000,180799,178189
13,19,1,200000,190180,185264
14,0,0.05,10000,9733,9674.46
14,1,0.1,20000,19356,19321.7
14,2,0.15,30000,28983,28820.6
14,3,0.2,40000,38602,37957.2
14,4,0.25,50000,48143,47067.7
14,5,0.3,60000,57689,57900.7
14,6,0.35,70000,67191,68730.4
14,7,0.4,80000,76705,78607.4
14,8,0.45,90000,86219,88238.9
14,9,0.5,100000,95705,97106
14,10,0.55,110000,105186,109376
14,11,0.6,120000,114638,119161
14,12,0.65,130000,124120,129169
14,13,0.7,140000,133586,137511
14,14,0.75,150000,143016,147454
14,15,0.8,160000,152423,158150
14,16,0.85,170000,161809,167556
14,17,0.9,180000,171180,177063
14,18,0.95,190000,180601,184540
14,19,1,200000,190013,195137
15,0,0.05,10000,9708,9960.09
