stream_id,step,fraction,processed,true_f0,estimate
7,16,0.85,170000,161665,156714
7,17,0.9,180000,171027,167507
7,18,0.95,190000,180431,174816
7,19,1,200000,189843,185141
8,0,0.05,10000,9727,9870.26
8,1,0.1,20000,19355,19666.2
8,2,0.15,30000,28953,28427.6
8,3,0.2,40000,38513,37661.5
8,4,0.25,50000,48096,47761.9
8,5,0.3,60000,57620,57035
8,6,0.35,70000,67145,66467.6
8,7,0.4,80000,76684,75370.1
8,8,0.45,90000,86227,85680.9
8,9,0.5,100000,95751,95548
8,10,0.55,110000,105185,105145
8,11,0.6,120000,114655,115464
8,12,0.65,130000,124101,125606
8,13,0.7,140000,133578,134877
8,14,0.75,150000,142974,145687
8,15,0.8,160000,152413,155716
8,16,0.85,170000,161825,163544
8,17,0.9,180000,171184,173381
8,18,0.95,190000,180578,180563
8,19,1,200000,189960,186730
9,0,0.05,10000,9714,9427.25
9,1,0.1,20000,19318,18810.2
9,2,0.15,30000,28918,27673
9,3,0.2,40000,38504,35870.4
9,4,0.25,50000,48071,46316
9,5,0.3,60000,57600,55874.7
9,6,0.35,70000,67125,65892.4
9,7,0.4,80000,76657,73785.6
9,8,0.45,90000,86180,82811.9
9,9,0.5,100000,95675,92682.9
9,10,0.55,110000,105177,100929
9,11,0.6,120000,114622,112500
9,12,0.65,130000,124088,122031
9,13,0.7,140000,133538,131790
9,14,0.75,150000,142930,145061
9,15,0.8,160000,152366,153615
9,16,0.85,170000,161779,163111
9,17,0.9,180000,171138,168817
9,18,0.95,190000,180528,180956
9,19,1,200000,189928,188532
10,0,0.05,10000,9694,9718.93
10,1,0.1,20000,19310,18748.1
10,2,0.15,30000,28920,28691.8
10,3,0.2,40000,38482,36992.6
10,4,0.25,50000,48032,46220.9
10,5,0.3,60000,57571,56605.1
10,6,0.35,70000,67096,66686.6
10,7,0.4,80000,76589,76975.6
10,8,0.45,90000,86085,84879.9
10,9,0.5,100000,95584,95163.7
10,10,0.55,110000,105060,106425
10,11,0.6,120000,114478,116322
10,12,0.65,130000,123928,125577
10,13,0.7,140000,133351,134047
10,14,0.75,150000,142788,140207
10,15,0.8,160000,152182,150848
10,16,0.85,170000,161591,159194
10,17,0.9,180000,170999,170619
10,18,0.95,190000,180403,181914
10,19,1,200000,189720,190947
11,0,0.05,10000,9726,9747.94
11,1,0.1,20000,19339,19232.7
11,2,0.15,30000,28943,28961.6
11,3,0.2,40000,38544,38926.2
11,4,0.25,50000,48099,48714.1
11,5,0.3,60000,57667,58856.1
11,6,0.35,70000,67226,68232.8
11,7,0.4,80000,76734,76976.4
11,8,0.45,90000,86216,85716.5
11,9,0.5,100000,95686,94487.8
11,10,0.55,110000,105181,104180
11,11,0.6,120000,114676,113776
11,12,0.65,130000,124158,123016
11,13,0.7,140000,133600,132566
11,14,0.75,150000,143006,141761
11,15,0.8,160000,152410,152448
11,16,0.85,170000,161804,162244
11,17,0.9,180000,171210,170953
11,18,0.95,190000,180639,180065
11,19,1,200000,190020,194358
12,0,0.05,10000,9721,9768.77
12,1,0.1,20000,19356,18809.5
12,2,0.15,30000,28936,28006.6
12,3,0.2,40000,38543,37215.3
12,4,0.25,50000,48088,46732.3
12,5,0.3,60000,57640,57019.1
12,6,0.35,70000,67162,67596.7
12,7,0.4,80000,76657,75893.7
12,8,0.45,90000,86164,86258
12,9,0.5,100000,95636,96605.9
12,10,0.55,110000,105100,105857
12,11,0.6,120000,114546,114248
12,12,0.65,130000,124015,121773
12,13,0.7,140000,133431,133137
12,14,0.75,150000,142843,142271
12,15,0.8,160000,152266,150542
12,16,0.85,170000,161705,162611
12,17,0.9,180000,171078,172255
12,18,0.95,190000,180441,180666
12,19,1,200000,189832,195320
13,0,0.05,10000,9721,9549.39
13,1,0.1,20000,19377,19111.9
13,2,0.15,30000,28952,28472.5
13,3,0.2,40000,38557,37822.7
13,4,0.25,50000,48141,46682.6
13,5,0.3,60000,57714,56834.8
13,6,0.35,70000,67261,65449.6
13,7,0.4,80000,76814,74046.6
13,8,0.45,90000,86333,83551.6
13,9,0.5,100000,95792,93784.1
13,10,0.55,110000,105304,103248
13,11,0.6,120000,114751,112272
13,12,0.65,130000,124216,121311
13,13,0.7,140000,133633,132319
13,14,0.75,150000,143066,142946
13,15,0.8,160000,152460,150482
13,16,0.85,170000,161921,160973
13,17,0.9,180000,171373,169864
13,18,0.95,190000,180799,179635
13,19,1,200000,190180,186835
14,0,0.05,10000,9733,9918.13
14,1,0.1,20000,19356,19564.3
14,2,0.15,30000,28983,28865.1
14,3,0.2,40000,38602,38421
14,4,0.25,50000,48143,47618.5
14,5,0.3,60000,57689,59037.9
14,6,0.35,70000,67191,68177.4
14,7,0.4,80000,76705,77275.7
14,8,0.45,90000,86219,85466.5
14,9,0.5,100000,95705,95265.5
14,10,0.55,110000,105186,105382
14,11,0.6,120000,114638,113347
14,12,0.65,130000,124120,123703
14,13,0.7,140000,133586,133161
14,14,0.75,150000,143016,142921
14,15,0.8,160000,152423,151258
14,16,0.85,170000,161809,159422
14,17,0.9,180000,171180,166174
14,18,0.95,190000,180601,176719
14,19,1,200000,190013,186597
15,0,0.05,10000,9708,9556.23
15,1,0.1,20000,19379,19052.9
15,2,0.15,30000,28985,28510.9
15,3,0.2,40000,38543,37691.9
15,4,0.25,50000,48075,46719.1
15,5,0.3,60000,57622,57686.9
15,6,0.35,70000,67176,66738.3
15,7,0.4,80000,76644,75962.7
15,8,0.45,90000,86129,84929.4
15,9,0.5,100000,95607,92612.1
15,10,0.55,110000,105108,100884
15,11,0.6,120000,114571,109716
15,12,0.65,130000,124056,120292
15,13,0.7,140000,133476,129015
15,14,0.75,150000,142905,137995
15,15,0.8,160000,152319,150704
15,16,0.85,170000,161724,159043
15,17,0.9,180000,171139,169024
15,18,0.95,190000,180529,177568
15,19,1,200000,189898,188210
16,0,0.05,10000,9724,10024.9
16,1,0.1,20000,19335,19724.1
16,2,0.15,30000,28926,28910.7
16,3,0.2,40000,38502,39045.4
16,4,0.25,50000,48062,49708.3
16,5,0.3,60000,57594,59825.2
16,6,0.35,70000,67105,69040.3
16,7,0.4,80000,76597,78182.2
16,8,0.45,90000,86098,88278.1
16,9,0.5,100000,95572,97422.7
16,10,0.55,110000,105038,106544
16,11,0.6,120000,114496,116491
16,12,0.65,130000,123956,126978
16,13,0.7,140000,133386,136754
16,14,0.75,150000,142756,146193
16,15,0.8,160000,152193,155141
16,16,0.85,170000,161617,164361
16,17,0.9,180000,171008,174006
16,18,0.95,190000,180415,181944
16,19,1,200000,189807,192537
17,0,0.05,10000,9704,9527.51
17,1,0.1,20000,19313,18889.2
17,2,0.15,30000,28888,28004.6
17,3,0.2,40000,38456,37077.6
17,4,0.25,50000,48038,46796.7
17,5,0.3,60000,57565,57468
17,6,0.35,70000,67080,68153.1
17,7,0.4,80000,76570,78929.7
17,8,0.45,90000,86080,87904.3
17,9,0.5,100000,95581,97479
17,10,0.55,110000,105069,107383
17,11,0.6,120000,114489,116452
17,12,0.65,130000,123914,126186
17,13,0.7,140000,133343,133081
17,14,0.75,150000,142804,141604
17,15,0.8,160000,152206,152976
17,16,0.85,170000,161595,161841
17,17,0.9,180000,170968,173107
17,18,0.95,190000,180399,181218
17,19,1,200000,189789,189152
18,0,0.05,10000,9698,9845.85
18,1,0.1,20000,19338,19991.2
18,2,0.15,30000,28913,29492.1
18,3,0.2,40000,38484,39083.7
18,4,0.25,50000,48033,48599.7
18,5,0.3,60000,57569,58815.7
18,6,0.35,70000,67084,69294.9
18,7,0.4,80000,76618,78371
18,8,0.45,90000,86155,88086.5
18,9,0.5,100000,95632,98715.7
18,10,0.55,110000,105125,107469
18,11,0.6,120000,114586,118119
18,12,0.65,130000,124016,126436
18,13,0.7,140000,133436,132758
18,14,0.75,150000,142884,142653
18,15,0.8,160000,152315,153084
18,16,0.85,170000,161747,160745
18,17,0.9,180000,171157,171314
18,18,0.95,190000,180542,179066
18,19,1,200000,189911,189346
19,0,0.05,10000,9725,9626.59
19,1,0.1,20000,19362,18804.9
19,2,0.15,30000,28990,28304.8
19,3,0.2,40000,38588,38371.2
19,4,0.25,50000,48131,47127.4
19,5,0.3,60000,57724,56688.7
19,6,0.35,70000,67227,65757.1
19,7,0.4,80000,76749,76573.3
19,8,0.45,90000,86266,87303.8
19,9,0.5,100000,95705,95319.1
19,10,0.55,110000,105174,104120
19,11,0.6,120000,114621,113711
19,12,0.65,130000,124048,123476
19,13,0.7,140000,133500,131299
19,14,0.75,150000,142934,142772
19,15,0.8,160000,152394,149616
19,16,0.85,170000,161819,157672
19,17,0.9,180000,171208,164010
19,18,0.95,190000,180627,174197
19,19,1,200000,190013,188139
20,0,0.05,10000,9713,9847.6
20,1,0.1,20000,19324,19295.2
20,2,0.15,30000,28925,28147.3
