p,m,theory_rse_base,base_mean_err_last,base_std_err_last,imp_mean_err_last,imp_std_err_last,std_improvement_factor
8,256,0.065,-0.03022888116845317,0.04535444619651635,-0.009406076635032921,0.029035061150104735,1.5620578845019153
10,1024,0.0325,0.011640510259666961,0.029232678905122975,0.005085480119167856,0.02055367299346937,1.4222605815715386
12,4096,0.01625,0.0013495122549061834,0.01757775632101922,-0.001486171417178495,0.00981878249544809,1.7902175070247386
