stream_id,step,fraction,processed,true_f0,estimate
0,0,0.05,10000,9727,9411.47
0,1,0.1,20000,19365,17929.5
0,2,0.15,30000,28948,28714.8
0,3,0.2,40000,38523,38584.2
0,4,0.25,50000,48096,47591.2
0,5,0.3,60000,57653,59748.4
0,6,0.35,70000,67188,69807.7
0,7,0.4,80000,76688,79924.3
0,8,0.45,90000,86209,89530.6
0,9,0.5,100000,95672,101973
0,10,0.55,110000,105138,111568
0,11,0.6,120000,114603,120358
0,12,0.65,130000,124024,130368
0,13,0.7,140000,133431,143396
0,14,0.75,150000,142817,153163
0,15,0.8,160000,152222,162592
0,16,0.85,170000,161627,169749
0,17,0.9,180000,171051,179843
0,18,0.95,190000,180433,184666
0,19,1,200000,189809,195852
1,0,0.05,10000,9714,10245.6
1,1,0.1,20000,19354,19781.7
1,2,0.15,30000,28935,30714.4
1,3,0.2,40000,38505,37828.8
1,4,0.25,50000,48062,46128.1
1,5,0.3,60000,57550,57787.5
1,6,0.35,70000,67026,65599.7
1,7,0.4,80000,76558,75832.9
1,8,0.45,90000,86051,86165.4
1,9,0.5,100000,95577,94437.2
1,10,0.55,110000,105015,104778
1,11,0.6,120000,114470,115988
1,12,0.65,130000,123925,127487
1,13,0.7,140000,133374,134139
1,14,0.75,150000,142860,147725
1,15,0.8,160000,152314,157498
1,16,0.85,170000,161755,165455
1,17,0.9,180000,171164,172640
1,18,0.95,190000,180584,183658
1,19,1,200000,189976,197440
2,0,0.05,10000,9728,9434.35
2,1,0.1,20000,19341,19054.1
2,2,0.15,30000,28974,28987.8
2,3,0.2,40000,38565,38331.3
2,4,0.25,50000,48138,49994
2,5,0.3,60000,57669,58336.6
2,6,0.35,70000,67224,68962.3
2,7,0.4,80000,76757,82127.6
2,8,0.45,90000,86259,90449.4
2,9,0.5,100000,95717,98838.8
2,10,0.55,110000,105214,102239
2,11,0.6,120000,114632,114697
2,12,0.65,130000,124128,118906
2,13,0.7,140000,133585,127599
2,14,0.75,150000,143020,136400
2,15,0.8,160000,152420,145238
2,16,0.85,170000,161841,155033
2,17,0.9,180000,171260,163374
2,18,0.95,190000,180593,173247
2,19,1,200000,189987,190303
3,0,0.05,10000,9695,9736.21
3,1,0.1,20000,19319,19943.1
3,2,0.15,30000,28868,28100.8
3,3,0.2,40000,38467,38222.7
3,4,0.25,50000,48069,47536.2
3,5,0.3,60000,57591,58564.8
3,6,0.35,70000,67090,68017.3
3,7,0.4,80000,76599,77492
3,8,0.45,90000,86095,83889.3
3,9,0.5,100000,95548,92746.8
3,10,0.55,110000,105008,100219
3,11,0.6,120000,114461,115845
3,12,0.65,130000,123884,123329
3,13,0.7,140000,133284,135364
3,14,0.75,150000,142721,142544
3,15,0.8,160000,152151,147895
3,16,0.85,170000,161574,160290
3,17,0.9,180000,171012,170730
3,18,0.95,190000,180381,179607
3,19,1,200000,189779,188863
4,0,0.05,10000,9706,9552.61
4,1,0.1,20000,19323,20288.3
4,2,0.15,30000,28932,30145.3
4,3,0.2,40000,38515,39319.8
4,4,0.25,50000,48082,46010.3
4,5,0.3,60000,57642,54349.2
4,6,0.35,70000,67135,62693.9
4,7,0.4,80000,76646,78918.1
4,8,0.45,90000,86149,86605.9
4,9,0.5,100000,95625,93902.2
4,10,0.55,110000,105104,104739
4,11,0.6,120000,114532,115180
4,12,0.65,130000,123993,124103
4,13,0.7,140000,133451,133759
4,14,0.75,150000,142881,141565
4,15,0.8,160000,152267,151729
4,16,0.85,170000,161709,159166
4,17,0.9,180000,171111,167170
4,18,0.95,190000,180525,178690
4,19,1,200000,189896,189165
5,0,0.05,10000,9687,9642.66
5,1,0.1,20000,19314,18477.4
5,2,0.15,30000,28923,26764.3
5,3,0.2,40000,38496,35716.3
5,4,0.25,50000,48033,44310.1
5,5,0.3,60000,57589,52768.6
5,6,0.35,70000,67113,62668.6
5,7,0.4,80000,76631,71573.4
5,8,0.45,90000,86168,80710.5
5,9,0.5,100000,95694,92103.4
5,10,0.55,110000,105155,105073
5,11,0.6,120000,114630,110333
5,12,0.65,130000,124057,121290
5,13,0.7,140000,133475,128441
5,14,0.75,150000,142881,141225
5,15,0.8,160000,152307,146538
5,16,0.85,170000,161698,156513
5,17,0.9,180000,171080,160251
5,18,0.95,190000,180460,176377
5,19,1,200000,189864,185005
6,0,0.05,10000,9696,8918.37
6,1,0.1,20000,19338,17857.7
6,2,0.15,30000,28940,28476.6
6,3,0.2,40000,38536,36669.4
6,4,0.25,50000,48075,45708.5
6,5,0.3,60000,57616,55875.8
6,6,0.35,70000,67152,68658.4
6,7,0.4,80000,76672,75633.9
6,8,0.45,90000,86141,83485.5
6,9,0.5,100000,95600,93347.8
6,10,0.55,110000,105080,101027
6,11,0.6,120000,114533,115179
6,12,0.65,130000,123993,121252
6,13,0.7,140000,133376,129367
6,14,0.75,150000,142793,138347
6,15,0.8,160000,152207,141326
6,16,0.85,170000,161637,150068
6,17,0.9,180000,171006,162777
6,18,0.95,190000,180411,170252
6,19,1,200000,189795,180354
7,0,0.05,10000,9732,9852.95
7,1,0.1,20000,19348,19018.4
7,2,0.15,30000,28955,29421.7
7,3,0.2,40000,38541,37827.6
7,4,0.25,50000,48078,47250.8
7,5,0.3,60000,57586,57767.5
7,6,0.35,70000,67134,68986
7,7,0.4,80000,76614,78829.6
7,8,0.45,90000,86094,89040
7,9,0.5,100000,95592,97921.2
7,10,0.55,110000,105051,110038
7,11,0.6,120000,114515,118399
7,12,0.65,130000,123980,126141
7,13,0.7,140000,133411,136138
7,14,0.75,150000,142790,141423
7,15,0.8,160000,152249,151716
