stream_id,step,fraction,processed,true_f0,estimate
0,0,0.05,10000,9727,9642.75
0,1,0.1,20000,19365,19260.5
0,2,0.15,30000,28948,29262.7
0,3,0.2,40000,38523,38837.8
0,4,0.25,50000,48096,48424.1
0,5,0.3,60000,57653,58081.6
0,6,0.35,70000,67188,67083.8
0,7,0.4,80000,76688,76971.7
0,8,0.45,90000,86209,86318.7
0,9,0.5,100000,95672,95901.8
0,10,0.55,110000,105138,105299
0,11,0.6,120000,114603,114746
0,12,0.65,130000,124024,124327
0,13,0.7,140000,133431,133856
0,14,0.75,150000,142817,142635
0,15,0.8,160000,152222,151448
0,16,0.85,170000,161627,161431
0,17,0.9,180000,171051,172385
0,18,0.95,190000,180433,181669
0,19,1,200000,189809,191253
1,0,0.05,10000,9714,9881.21
1,1,0.1,20000,19354,19220.8
1,2,0.15,30000,28935,28892.3
1,3,0.2,40000,38505,38195.8
1,4,0.25,50000,48062,48178.3
1,5,0.3,60000,57550,57450.6
1,6,0.35,70000,67026,67456.8
1,7,0.4,80000,76558,77577.6
1,8,0.45,90000,86051,87250.7
1,9,0.5,100000,95577,97556.8
1,10,0.55,110000,105015,106857
1,11,0.6,120000,114470,117034
1,12,0.65,130000,123925,126671
1,13,0.7,140000,133374,135548
1,14,0.75,150000,142860,145447
1,15,0.8,160000,152314,153730
1,16,0.85,170000,161755,163553
1,17,0.9,180000,171164,172737
1,18,0.95,190000,180584,181583
1,19,1,200000,189976,189049
2,0,0.05,10000,9728,9706.42
2,1,0.1,20000,19341,19386
2,2,0.15,30000,28974,28946
2,3,0.2,40000,38565,38486.8
2,4,0.25,50000,48138,47570.2
2,5,0.3,60000,57669,56670.7
2,6,0.35,70000,67224,66371.7
2,7,0.4,80000,76757,75962.1
2,8,0.45,90000,86259,85023.3
2,9,0.5,100000,95717,94137.9
2,10,0.55,110000,105214,104222
2,11,0.6,120000,114632,113551
2,12,0.65,130000,124128,122838
2,13,0.7,140000,133585,131545
2,14,0.75,150000,143020,140296
2,15,0.8,160000,152420,149826
2,16,0.85,170000,161841,158608
2,17,0.9,180000,171260,166971
2,18,0.95,190000,180593,177471
2,19,1,200000,189987,185371
3,0,0.05,10000,9695,9580.05
3,1,0.1,20000,19319,19245.8
3,2,0.15,30000,28868,28680.8
3,3,0.2,40000,38467,38594.2
3,4,0.25,50000,48069,48397.5
3,5,0.3,60000,57591,57736.1
3,6,0.35,70000,67090,67668.3
3,7,0.4,80000,76599,77284.8
3,8,0.45,90000,86095,87530.4
3,9,0.5,100000,95548,97965.2
3,10,0.55,110000,105008,107030
3,11,0.6,120000,114461,116295
3,12,0.65,130000,123884,125776
3,13,0.7,140000,133284,135531
3,14,0.75,150000,142721,144628
3,15,0.8,160000,152151,154939
3,16,0.85,170000,161574,164213
3,17,0.9,180000,171012,173330
3,18,0.95,190000,180381,182548
3,19,1,200000,189779,191537
4,0,0.05,10000,9706,9611.28
4,1,0.1,20000,19323,19374.4
4,2,0.15,30000,28932,29075.9
4,3,0.2,40000,38515,38899.7
4,4,0.25,50000,48082,48100.4
4,5,0.3,60000,57642,57735.1
4,6,0.35,70000,67135,67245.3
4,7,0.4,80000,76646,77071.9
4,8,0.45,90000,86149,86690.4
4,9,0.5,100000,95625,95939
4,10,0.55,110000,105104,106634
4,11,0.6,120000,114532,116422
4,12,0.65,130000,123993,125445
4,13,0.7,140000,133451,134416
4,14,0.75,150000,142881,144371
4,15,0.8,160000,152267,153100
4,16,0.85,170000,161709,162317
4,17,0.9,180000,171111,172061
4,18,0.95,190000,180525,181954
4,19,1,200000,189896,190632
5,0,0.05,10000,9687,9685.09
5,1,0.1,20000,19314,19139.4
5,2,0.15,30000,28923,29006
5,3,0.2,40000,38496,38148.9
5,4,0.25,50000,48033,47431
5,5,0.3,60000,57589,57544.3
5,6,0.35,70000,67113,66484.7
5,7,0.4,80000,76631,76359.3
5,8,0.45,90000,86168,85808.8
5,9,0.5,100000,95694,95434.4
5,10,0.55,110000,105155,104203
5,11,0.6,120000,114630,114315
5,12,0.65,130000,124057,124783
5,13,0.7,140000,133475,134999
5,14,0.75,150000,142881,144328
5,15,0.8,160000,152307,153455
5,16,0.85,170000,161698,163547
5,17,0.9,180000,171080,173172
5,18,0.95,190000,180460,182815
5,19,1,200000,189864,192071
6,0,0.05,10000,9696,9685.09
6,1,0.1,20000,19338,19372.7
6,2,0.15,30000,28940,29250.2
6,3,0.2,40000,38536,39288.7
6,4,0.25,50000,48075,48923.7
6,5,0.3,60000,57616,58761.5
6,6,0.35,70000,67152,68487.7
6,7,0.4,80000,76672,77568.1
6,8,0.45,90000,86141,86219.7
6,9,0.5,100000,95600,95617.2
6,10,0.55,110000,105080,104371
6,11,0.6,120000,114533,113757
6,12,0.65,130000,123993,124510
6,13,0.7,140000,133376,134573
6,14,0.75,150000,142793,144928
6,15,0.8,160000,152207,153294
6,16,0.85,170000,161637,161396
6,17,0.9,180000,171006,171555
6,18,0.95,190000,180411,181522
6,19,1,200000,189795,191443
7,0,0.05,10000,9732,9771.09
7,1,0.1,20000,19348,19474.8
7,2,0.15,30000,28955,28864.2
7,3,0.2,40000,38541,38477.8
7,4,0.25,50000,48078,49173.5
7,5,0.3,60000,57586,58293.5
7,6,0.35,70000,67134,67636.8
7,7,0.4,80000,76614,77844.5
7,8,0.45,90000,86094,86334.2
7,9,0.5,100000,95592,96261.4
7,10,0.55,110000,105051,106727
7,11,0.6,120000,114515,115698
7,12,0.65,130000,123980,125322
7,13,0.7,140000,133411,133801
7,14,0.75,150000,142790,142899
7,15,0.8,160000,152249,151020
7,16,0.85,170000,161665,160648
7,17,0.9,180000,171027,170828
