p,m,theory_rse,mean_err_last,std_err_last
8,256,0.065,-0.03022888116845317,0.04535444619651635
10,1024,0.0325,0.011640510259666961,0.029232678905122975
12,4096,0.01625,0.0013495122549061834,0.01757775632101922
