stream_id,step,fraction,processed,true_f0,estimate
0,0,0.05,10000,9727,9143.11
0,1,0.1,20000,19365,17189.7
0,2,0.15,30000,28948,29369.1
0,3,0.2,40000,38523,38584.2
0,4,0.25,50000,48096,46638.6
0,5,0.3,60000,57653,57968.3
0,6,0.35,70000,67188,65113.7
0,7,0.4,80000,76688,73930.1
0,8,0.45,90000,86209,84436.1
0,9,0.5,100000,95672,90003.4
0,10,0.55,110000,105138,100954
0,11,0.6,120000,114603,108297
0,12,0.65,130000,124024,117468
0,13,0.7,140000,133431,125384
0,14,0.75,150000,142817,139996
0,15,0.8,160000,152222,149784
0,16,0.85,170000,161627,155900
0,17,0.9,180000,171051,165680
0,18,0.95,190000,180433,174924
0,19,1,200000,189809,180724
1,0,0.05,10000,9714,10541.2
1,1,0.1,20000,19354,20736.6
1,2,0.15,30000,28935,31993.3
1,3,0.2,40000,38505,42358.3
1,4,0.25,50000,48062,52287.4
1,5,0.3,60000,57550,63206
1,6,0.35,70000,67026,76694.4
1,7,0.4,80000,76558,82987
1,8,0.45,90000,86051,92505.2
1,9,0.5,100000,95577,102473
1,10,0.55,110000,105015,115841
1,11,0.6,120000,114470,120299
1,12,0.65,130000,123925,129773
1,13,0.7,140000,133374,142138
1,14,0.75,150000,142860,145215
1,15,0.8,160000,152314,157458
1,16,0.85,170000,161755,160991
1,17,0.9,180000,171164,170531
1,18,0.95,190000,180584,182734
1,19,1,200000,189976,198693
2,0,0.05,10000,9728,9789.72
2,1,0.1,20000,19341,19293.7
2,2,0.15,30000,28974,28733.9
2,3,0.2,40000,38565,36085.2
2,4,0.25,50000,48138,48228.8
2,5,0.3,60000,57669,55423.5
2,6,0.35,70000,67224,64780.8
2,7,0.4,80000,76757,74531.2
2,8,0.45,90000,86259,80386.6
2,9,0.5,100000,95717,85426.3
2,10,0.55,110000,105214,90978.9
2,11,0.6,120000,114632,101785
2,12,0.65,130000,124128,116085
2,13,0.7,140000,133585,123418
2,14,0.75,150000,143020,131308
2,15,0.8,160000,152420,140994
2,16,0.85,170000,161841,147676
2,17,0.9,180000,171260,155039
2,18,0.95,190000,180593,169783
2,19,1,200000,189987,173390
3,0,0.05,10000,9695,10056.1
3,1,0.1,20000,19319,19943.1
3,2,0.15,30000,28868,27454
3,3,0.2,40000,38467,37740.9
3,4,0.25,50000,48069,47514.6
3,5,0.3,60000,57591,57548.2
3,6,0.35,70000,67090,68017.3
3,7,0.4,80000,76599,75916.9
3,8,0.45,90000,86095,83499.1
3,9,0.5,100000,95548,98328.5
3,10,0.55,110000,105008,109527
3,11,0.6,120000,114461,122040
3,12,0.65,130000,123884,128614
3,13,0.7,140000,133284,135912
3,14,0.75,150000,142721,142544
3,15,0.8,160000,152151,147895
3,16,0.85,170000,161574,160290
3,17,0.9,180000,171012,166357
3,18,0.95,190000,180381,179607
3,19,1,200000,189779,185392
4,0,0.05,10000,9706,9888.69
4,1,0.1,20000,19323,20288.3
4,2,0.15,30000,28932,30145.3
4,3,0.2,40000,38515,37577.3
4,4,0.25,50000,48082,46010.3
4,5,0.3,60000,57642,54349.2
4,6,0.35,70000,67135,62355.4
4,7,0.4,80000,76646,72597.9
4,8,0.45,90000,86149,80602.4
4,9,0.5,100000,95625,91382.5
4,10,0.55,110000,105104,100210
4,11,0.6,120000,114532,109983
4,12,0.65,130000,123993,125367
4,13,0.7,140000,133451,133759
4,14,0.75,150000,142881,139844
4,15,0.8,160000,152267,151729
4,16,0.85,170000,161709,159741
4,17,0.9,180000,171111,178113
4,18,0.95,190000,180525,184880
4,19,1,200000,189896,194484
5,0,0.05,10000,9687,9720.14
5,1,0.1,20000,19314,18477.4
5,2,0.15,30000,28923,26989.1
5,3,0.2,40000,38496,35716.3
5,4,0.25,50000,48033,44310.1
5,5,0.3,60000,57589,52768.6
5,6,0.35,70000,67113,63218.9
5,7,0.4,80000,76631,71573.4
5,8,0.45,90000,86168,82507.6
5,9,0.5,100000,95694,93088.6
5,10,0.55,110000,105155,105073
5,11,0.6,120000,114630,110333
5,12,0.65,130000,124057,118504
5,13,0.7,140000,133475,127993
5,14,0.75,150000,142881,142908
5,15,0.8,160000,152307,148751
5,16,0.85,170000,161698,153641
5,17,0.9,180000,171080,157758
5,18,0.95,190000,180460,165042
5,19,1,200000,189864,177623
6,0,0.05,10000,9696,9398.48
6,1,0.1,20000,19338,17041
6,2,0.15,30000,28940,23861.1
6,3,0.2,40000,38536,33203
6,4,0.25,50000,48075,40702.9
6,5,0.3,60000,57616,49734.9
6,6,0.35,70000,67152,61299.5
6,7,0.4,80000,76672,72183
6,8,0.45,90000,86141,78056.7
6,9,0.5,100000,95600,88257.6
6,10,0.55,110000,105080,93996.3
6,11,0.6,120000,114533,101841
6,12,0.65,130000,123993,108963
6,13,0.7,140000,133376,119255
6,14,0.75,150000,142793,126032
